sa1_main16,bp_Easy,bp_NA,bp_Medium,bp_Hard,n,cf_Hard,cf_Medium,cf_Easy,cf_NA,rg_Easy,rg_Hard,rg_Medium,rg_NA
30201102508,7,2,0,0,9,0,0,9,0,9,0,0,0
30201102509,2,4,0,0,6,2,0,2,2,2,2,0,2
30201102510,0,8,1,0,9,2,0,7,0,8,1,0,0
30201102511,0,8,2,0,10,0,0,4,6,4,0,0,6
30201102514,0,0,2,0,2,2,0,0,0,2,0,0,0
30201102515,0,0,3,0,3,3,0,0,0,3,0,0,0
30201102516,1,0,1,1,3,1,0,2,0,2,1,0,0
30201102517,2,2,0,0,4,2,0,2,0,2,2,0,0
30201102518,3,0,0,0,3,0,0,3,0,0,0,3,0
30201102519,0,0,1,0,1,0,1,0,0,0,0,1,0
30201102602,0,2,0,0,2,0,0,0,2,0,0,0,2
30201102603,0,0,0,2,2,0,0,2,0,0,2,0,0
30201102605,1,2,0,0,3,0,0,3,0,3,0,0,0
30201102606,0,2,0,0,2,0,0,2,0,2,0,0,0
30201102607,8,0,0,2,10,0,0,10,0,3,3,4,0
30201102608,2,0,0,0,2,0,0,2,0,2,0,0,0
30201102611,1,0,0,0,1,0,0,1,0,0,0,1,0
30201102612,3,0,0,0,3,0,0,3,0,0,0,3,0
30201102614,2,0,2,0,4,0,0,4,0,2,0,2,0
30201102615,2,0,0,0,2,0,0,2,0,2,0,0,0
30201102616,8,1,0,0,9,1,2,6,0,6,1,2,0
30201102617,2,0,2,0,4,0,0,4,0,2,0,2,0
30202102701,0,1,1,0,2,1,0,1,0,2,0,0,0
30202102705,0,1,1,0,2,0,1,1,0,2,0,0,0
30202102706,4,4,4,0,12,4,4,0,4,4,0,4,4
30202102708,8,1,0,0,9,0,4,5,0,9,0,0,0
30202102709,2,1,0,0,3,0,0,3,0,3,0,0,0
30202102711,0,6,0,0,6,0,0,0,6,0,0,0,6
30202102712,2,0,0,0,2,0,0,2,0,0,2,0,0
30202102713,0,1,0,0,1,0,0,1,0,1,0,0,0
30202102716,9,0,0,0,9,9,0,0,0,9,0,0,0
30202102717,7,4,0,0,11,0,1,10,0,4,1,6,0
30202102718,3,0,0,0,3,0,0,3,0,3,0,0,0
30202102720,0,0,0,2,2,0,2,0,0,0,0,2,0
